"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Moderate","SNOW,MODERATE"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Rain,Light","RAIN,LIGHT"
"Rain,Light","RAIN,LIGHT"
"Rain,Light","RAIN,LIGHT"
"Snow,Moderate","SNOW,MODERATE"
"Snow,Light","SNOW,LIGHT"
"Snow,Moderate","SNOW,MODERATE"
"Snow,Heavy","SNOW,HEAVY"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Rain,Light","RAIN,LIGHT"
"Rain,Light","RAIN,LIGHT"
"Snow,Heavy","SNOW,HEAVY"
"Rain,Moderate","RAIN,MODERATE"
"Rain,Light","RAIN,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Moderate","SNOW,MODERATE"
"Rain,Light","RAIN,LIGHT"
"Snow,Light","SNOW,LIGHT"
"Snow,Moderate","SNOW,MODERATE"
"Snow,Heavy","SNOW,HEAVY"
"Snow,Light","SNOW,LIGHT"
"Snow,Moderate","SNOW,MODERATE"
